DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
erythropoietin	DB00016	"e.p.o. | epoetin alfa | epoetin alfa rdna | epoetin alfa-epbx | epoetin alfa, recombinant | epoetin beta | epoetin beta rdna | epoetin epsilon | epoetin gamma | epoetin gamma rdna | epoetin kappa | epoetin omega | epoetin theta | epoetin zeta | epoetina alfa | epoetina beta | epoetina dseta | epoetina zeta | epoã©tine zãªta | epoetinum zeta | erythropoiesis stimulating factor | erythropoietin (human, recombinant) | erythropoietin (recombinant human) | esf | sh-polypeptide-72"	9606.ENSP00000222139	EPOR	P19235
salmon calcitonin	DB00017	"calcitonin (salmon synthetic) | calcitonin salmon | calcitonin salmon recombinant | calcitonin-salmon | calcitonin, salmon | calcitonina salmã³n sintã©tica | recombinant salmon calcitonin | salmon calcitonin"	9606.ENSP00000352561	CALCR	P30988
interferon alfa-n3	DB00018	interferon alfa-n3	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
pegfilgrastim	DB00019	granulocyte colony-stimulating factor pegfilgrastim | peg-filgrastim | pegfilgrastim | pegfilgrastim-apgf | pegfilgrastim-bmez | pegfilgrastim-cbqv | pegfilgrastim-jmdb	9606.ENSP00000362195	CSF3R	Q99062
sargramostim	DB00020	recombinant human granulocyte-macrophage colony stimulating factor | rgm-csf | rhu gm-csf | sargramostim	"9606.ENSP00000394227, 9606.ENSP00000327890, 9606.ENSP00000312134, 9606.ENSP00000384053, 9606.ENSP00000307046"	"CSF2RA, IL3RA, PRG2, CSF2RB, SDC2"	"P15509, P26951, P13727, P32927, P34741"
peginterferon alfa-2b	DB00022	peginterferon alfa-2b	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
thyrotropin alfa	DB00024	recombinant human thyroid stimulating hormone | recombinant thyrotropin alfa | rhtsh | rtsh | thyrotropin alfa | thyrotropin alpha	9606.ENSP00000441235	TSHR	P16473
"antihemophilic factor, human recombinant"	DB00025	"antihemophilic factor (recombinant) | antihemophilic factor recombinant | antihemophilic factor, human recombinant | antihemophilic factor, recombinant | coagulation factor viii, recombinant | factor viii (rdna) | factor viii (recombinant) | factor viii recombin | factor viii, recombinant | human factor viii (recombinant) | human factor viii recombinant | octocog alfa | rahf | recombinant antihemophilic factor viii"	"9606.ENSP00000364709, 9606.ENSP00000218099, 9606.ENSP00000247461, 9606.ENSP00000261405, 9606.ENSP00000324173, 9606.ENSP00000320866, 9606.ENSP00000243077, 9606.ENSP00000263038, 9606.ENSP00000347140, 9606.ENSP00000251047, 9606.ENSP00000386651"	"F10, F9, CANX, VWF, HSPA5, CALR, LRP1, PHYH, ASGR2, LMAN1, MCFD2"	"P00742, P00740, P27824, P04275, P11021, P27797, Q07954, O14832, P07307, P49257, Q8NI22"
anakinra	DB00026	anakinra | il-1ra | interleukin-1 receptor antagonist anakinra	9606.ENSP00000386380	IL1R1	P14778
human immunoglobulin g	DB00028	"aerosolized pooled immune globulin | human gammaglobulin | human igg | human immunoglobulin g | human normal immunoglobulin | immune globulin (human) | immune globulin human | immunoglobulin (human) | immunoglobulin g (human) | immunoglobulin g, human | intravenous immune globulin (human) | intravenous immunoglobulin (ivig)"	"9606.ENSP00000358165, 9606.ENSP00000223642, 9606.ENSP00000433642, 9606.ENSP00000356946, 9606.ENSP00000271450, 9606.ENSP00000351497, 9606.ENSP00000245907, 9606.ENSP00000358391, 9606.ENSP00000396688, 9606.ENSP00000415941"	"FCGR1A, C5, FCGR3B, FCGR3A, FCGR2A, FCGR2B, C3, FCGR1BP, C4A, C4B"	"P12314, P01031, O75015, P08637, P12318, P31994, P31995, P01024, Q92637, P0C0L4, P0C0L5"
anistreplase	DB00029	anisoylated plasminogen streptokinase activator complex | anistreplase | apsac	"9606.ENSP00000308938, 9606.ENSP00000223095, 9606.ENSP00000498441"	"PLG, SERPINE1, FGA"	"P00747, P05121, P02671"
insulin human	DB00030	"high molecular weight insulin human | human insulin | human insulin (rdna) | insulin (human) | insulin human | insulin human [rdna origin] | insulin human regular | insulin human regular (rdna) | insulin human, rdna origin | insulin recombinant human | insulin recombinant purified human | insulin regular | insulin, human | insulina regular | neutral insulin | regular insulin, human | soluble insulin"	"9606.ENSP00000303830, 9606.ENSP00000497069, 9606.ENSP00000496870, 9606.ENSP00000386104, 9606.ENSP00000259526, 9606.ENSP00000295666"	"INSR, IGF1R, LRP2, CPE, CCN3, IGFBP7"	"P06213, P08069, P98164, P16870, P48745, Q16270"
tenecteplase	DB00031	tenecteplasa | tenecteplase | tnk-tpa	"9606.ENSP00000308938, 9606.ENSP00000223095, 9606.ENSP00000498441, 9606.ENSP00000339328, 9606.ENSP00000401645, 9606.ENSP00000247461, 9606.ENSP00000346032, 9606.ENSP00000296130, 9606.ENSP00000449404, 9606.ENSP00000320866, 9606.ENSP00000243077"	"PLG, SERPINE1, FGA, PLAUR, SERPINB2, CANX, ANXA2, CLEC3B, KRT8, CALR, LRP1"	"P00747, P05121, P02671, Q03405, P05120, P27824, P07355, P05452, P05787, P27797, Q07954"
menotropins	DB00032	human menopausal gonadotrophin | menotrophin | menotropin | menotropina | menotropins (fsh;lh)	"9606.ENSP00000294954, 9606.ENSP00000384708"	"LHCGR, FSHR"	"P22888, P23945"
interferon gamma-1b	DB00033	"ifn-gamma 1b | ifn-gamma-1b | interferon gamma 1-b | interferon gamma-1b | interferon gamma-1b, recombinant | interferon gamma-2a"	"9606.ENSP00000371425, 9606.ENSP00000356713"	"IFNGR2, IFNGR1"	"P38484, P15260"
interferon alfa-2a	DB00034	"interferon alfa-2a | interferon alfa-2a (genetical recombination) | interferon alfa-2a (recombinant) | interferon alfa-2a, recombinant | interferon alfa-2a,recombinant | interferon alpha-2a | interferon-alfa-2a | recombinant human interferon alfa-2a | recombinant human interferon-alfa-2a | rifn-alpha-2a | sh-polypeptide-46"	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
desmopressin	DB00035	1-(3-mercaptopropionic acid)-8-d-arginine-vasopressin | 1-deamino-8-d-arginine vasopressin | 1-desamino-8-d-arginine vasopressin | ddavp | desmopresina | desmopressin | desmopressine | desmopressinum	"9606.ENSP00000299178, 9606.ENSP00000496396, 9606.ENSP00000356094"	"AVPR1A, AVPR2, AVPR1B"	"P37288, P30518, P47901"
coagulation factor viia recombinant human	DB00036	coagulation factor viia | coagulation factor viia (recombinant) | coagulation factor viia (recombinant)-jncw | eptacog alfa | eptacog alfa (activated) | rfviia	"9606.ENSP00000364709, 9606.ENSP00000364731, 9606.ENSP00000233838, 9606.ENSP00000233156, 9606.ENSP00000334145"	"F10, F7, GGCX, TFPI, F3"	"P00742, P08709, P38435, P10646, P13726"
oprelvekin	DB00038	il-11 | interleukin 11 | interleukin-11 | oprelvekin | recombinant interleukin-11	9606.ENSP00000450565	IL11RA	Q14626
palifermin	DB00039	24-163 fibroblast growth factor 7 (human) | palifermin | palifermina	"9606.ENSP00000410294, 9606.ENSP00000363827, 9606.ENSP00000393312"	"FGFR2, HSPG2, FGFR1"	"P21802, P98160, P11362"
glucagon	DB00040	"glucagon | glucagon (recombinant dna origin) | glucagon recombinant | glucagon, human | glucagon, porcine | glucagone | glucagonum"	"9606.ENSP00000383558, 9606.ENSP00000362353, 9606.ENSP00000262441"	"GCGR, GLP1R, GLP2R"	"P47871, P43220, O95838"
aldesleukin	DB00041	"125-l-serine-2-133-interleukin 2 (human reduced) | aldesleukin | aldesleukina | ilt-101 | ilt101 | interleukin-2 aldesleukin | interleukin-2(2-133),125-ser | recombinant human interleukin-2 | recombinant interleukin-2 human"	"9606.ENSP00000216223, 9606.ENSP00000369293, 9606.ENSP00000363318"	"IL2RB, IL2RA, IL2RG"	"P14784, P01589, P31785"
botulinum toxin type b	DB00042	botulin b | botulinum antitoxin type b | botulinum b toxin | botulinum neurotoxin type b precursor | botulinum toxin type b | btx-b | rimabotulinumtoxinb | toxina botulã­nica b	"9606.ENSP00000379602, 9606.ENSP00000418572, 9606.ENSP00000356237"	"VAMP1, VAMP2, SYT2"	"P23763, P63027, Q8N9I0"
omalizumab	DB00043	omalizumab	"9606.ENSP00000357097, 9606.ENSP00000278888"	"FCER1A, MS4A2"	"P12319, Q01362"
lutropin alfa	DB00044	lutropin alfa | lutropin alpha | lutropina alfa	9606.ENSP00000294954	LHCGR	P22888
lyme disease vaccine (recombinant ospa)	DB00045	lipoprotein ospa antigen recombinant | lipoprotein outer surface a borrelia burgdorferi antigen | ospa lipoprotein	9606.ENSP00000260010	TLR2	O60603
insulin lispro	DB00046	"insulin lispro | insulin lispro (genetical recombination) | insulin lispro (rdna origin) | insulin lispro protamine | insulin lispro protamine recombinant | insulin lispro recombinant | insulin lispro-aabc | insulin,lispro,human/rdna | insulin,lispro,protamine/rdna | insulina lispro"	"9606.ENSP00000303830, 9606.ENSP00000497069"	"INSR, IGF1R"	"P06213, P08069"
insulin glargine	DB00047	insulin glargine | insulin glargine (rdna origin) | insulin glargine recombinant | insulin glargine-yfgn | insulina glargina	"9606.ENSP00000303830, 9606.ENSP00000497069"	"INSR, IGF1R"	"P06213, P08069"
collagenase clostridium histolyticum	DB00048	clostridiopeptidase a | clostridium histolyticum enzymes | collagenase | collagenase clostridium histolyticum | collagenase clostridium histolyticum-aaes	"9606.ENSP00000225964, 9606.ENSP00000304408, 9606.ENSP00000369889"	"COL1A1, COL3A1, COL2A1"	"P02452, P02461, P02458"
cetrorelix	DB00050	cetrorelix | cetrorelixum	"9606.ENSP00000294954, 9606.ENSP00000226413"	"LHCGR, GNRHR"	"P22888, P30968"
adalimumab	DB00051	adalimumab | adalimumab (genetical recombination) | adalimumab-adaz | adalimumab-adbm | adalimumab-afzb | adalimumab-atto | adalimumab-bwwd | adalimumab-fkjp	9606.ENSP00000398698	TNF	P01375
somatotropin	DB00052	growth hormone | growth hormone (human) | hgh | human growth hormone | recombinant human growth hormone | rhgh | somatotropin (human) | somatotropin human | somatotropin human growth hormone | somatropin | somatropin (rdna origin) | somatropin (recombinant dna origin) | somatropin [rdna origin] | somatropin recombinant | somatropin(recombinant dna origin) | somatropina	"9606.ENSP00000483403, 9606.ENSP00000482954"	"GHR, PRLR"	"P10912, P16471"
abciximab	DB00054	abciximab | abciximab (genetical recombination) | c7e3	"9606.ENSP00000262407, 9606.ENSP00000226218, 9606.ENSP00000452786, 9606.ENSP00000271450, 9606.ENSP00000351497"	"ITGA2B, VTN, ITGB3, FCGR2A, FCGR2B"	"P08514, P04004, P05106, P12318, P31994"
drotrecogin alfa	DB00055	"activated protein c | blood coagulation factor xiv (human) | drotrecogin alfa (activated) | drotrecogin alfa (activated), lyophilized | drotrecogin alfa activated | drotrecogin alfa, activated | drotrecogin-alfa | recombinant human activated protein c (rh-apc)"	"9606.ENSP00000353393, 9606.ENSP00000356771, 9606.ENSP00000308541, 9606.ENSP00000223095, 9606.ENSP00000377783, 9606.ENSP00000296029, 9606.ENSP00000366307, 9606.ENSP00000216968, 9606.ENSP00000333203, 9606.ENSP00000484343"	"F8, F5, F2, SERPINE1, PROS1, PF4, THBD, PROCR, SERPINA5, SERPINB6"	"P00451, P12259, P00734, P05121, P07225, P02776, P07204, Q9UNN8, P05154, P35237"
gemtuzumab ozogamicin	DB00056	gemtuzumab ozogamicin	"9606.ENSP00000262262, 9606.ENSP00000358165, 9606.ENSP00000433642, 9606.ENSP00000356946"	"CD33, FCGR1A, FCGR3B, FCGR3A"	"P20138, P12314, O75015, P08637"
alpha-1-proteinase inhibitor	DB00058	".alpha.-1 protease inhibitor | .alpha.1-proteinase inhibitor human | 122320-05-2 | alfa 1-proteinase inhibitor (human) | alfa-1-antitripsina | alfa1 antitrypsin | alpha 1-antitrypsin | alpha 1-proteinase inhibitor | alpha 1-proteinase inhibitor (human) | alpha 1-proteinase inhibitor human | alpha 1-proteinase inhibitor, human | alpha-1 protease inhibitor | alpha-1 proteinase inhibitor (human) | alpha-1-antiproteinase | alpha-1-antitrypsin | alpha-1-proteinase inhibitor (human) | alpha-1-proteinase inhibitor human | alpha-1-proteinase inhibitor, human | alpha-1-proteinase inhibitor,human | alpha1-proteinase inhibitor | alpha1-proteinase inhibitor (human) | alpha1-proteinase inhibitor human | antileukoproteinase | api | mucus proteinase inhibitor | protease inhibitor wap4 | recombinant secretory leucocyte protease inhibitor | recombinant secretory leukocyte protease inhibitor | secretory leukocyte protease inhibitor (human) | slpi | wap four-disulfide core domain protein 4"	9606.ENSP00000466090	ELANE	P08246
interferon beta-1a	DB00060	"interferon beta 1-a | interferon beta 1a | interferon beta-1a | interferon beta-1a (recombinant human) | interferon beta-1a (recombinant) | interferon beta-1a,recombinant | interferon beta, recombinant human | interferon-beta-1a | sng001"	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
pegademase	DB00061	(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase | peg-adenosine deaminase | pegada | pegademase | pegademase bovine	9606.ENSP00000376345	GRB2	P62993
eptifibatide	DB00063	eptifibatida | eptifibatide | integrelin | intrifiban	"9606.ENSP00000452786, 9606.ENSP00000360423"	"ITGB3, CACNA1B"	"P05106, A0A024R8I1, Q00975"
infliximab	DB00065	infliximab | infliximab (genetical recombination) | infliximab-abda | infliximab-axxq | infliximab-dyyb | infliximab-qbtx	9606.ENSP00000398698	TNF	P01375
follitropin	DB00066	folitropina alfa | folitropina beta | folitropina delta | follicle stimulating hormone | follitrophin alfa | follitrophin alpha | follitrophin beta | follitropin alfa | follitropin alfa/beta | follitropin alpha | follitropin beta | follitropin delta | follitropin gamma | follotropin recombinant | fsh | fsh alpha | fsh-a | fsh-b | fsh-beta | recombinant human follicle stimulating hormone beta | recombinant human follicle-stimulating hormone (r-hfsh) | rfsh-alpha	9606.ENSP00000384708	FSHR	P23945
vasopressin	DB00067	"vasopressin, unspecified | vasopressina"	"9606.ENSP00000299178, 9606.ENSP00000496396, 9606.ENSP00000356094, 9606.ENSP00000324270"	"AVPR1A, AVPR2, AVPR1B, OXTR"	"P37288, P30518, P47901, P30559"
interferon beta-1b	DB00068	"interferon beta 1b (recombinant) | interferon beta-1b | interferon beta-1b,recombinant | interferon-beta-1b | recombinant interferon beta-1b"	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
interferon alfacon-1	DB00069	ifn alfacon-1 | ifn-con1 | interferon alfacon-1	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
hyaluronidase (ovine)	DB00070	"hyaluronidase (glycoprotein, sheep testis isoenzyme) | hyaluronidase (ovine) | hyaluronidase (sheep testis isoenzyme) | hyaluronidase, ovine | ovine hyaluronidase"	9606.ENSP00000221930	TGFB1	P01137
insulin pork	DB00071	"insulin (pork) | insulin porcine | insulin purified porcine | insulin purified pork | insulin, porcine | insulin, regular, pork | porcine insulin"	"9606.ENSP00000303830, 9606.ENSP00000497069"	"INSR, IGF1R"	"P06213, P08069"
trastuzumab	DB00072	rhumab her2 | trastuzumab | trastuzumab-anns | trastuzumab-dkst | trastuzumab-dttb | trastuzumab-pkrb | trastuzumab-qyyp	9606.ENSP00000269571	ERBB2	P04626
rituximab	DB00073	rituximab | rituximab-abbs | rituximab-arrx | rituximab-pvvr	9606.ENSP00000433277	MS4A1	P11836
basiliximab	DB00074	basiliximab	"9606.ENSP00000216223, 9606.ENSP00000369293"	"IL2RB, IL2RA"	"P14784, P01589"
muromonab	DB00075	anti-cd3 | muromonab-cd3	"9606.ENSP00000354566, 9606.ENSP00000433642, 9606.ENSP00000300692, 9606.ENSP00000431445, 9606.ENSP00000354782"	"CD3E, FCGR3B, CD3D, CD3G, CD247"	"P07766, O75015, P04234, P09693, P20963"
ibritumomab tiuxetan	DB00078	ibritumomab | ibritumomab tiuxetan | mab murine (igg1) anti p19437 (cd20_mouse)	9606.ENSP00000433277	MS4A1	P11836
tositumomab	DB00081	tositumomab	"9606.ENSP00000433277, 9606.ENSP00000351497"	"MS4A1, FCGR2B"	"P11836, P31994"
pegvisomant	DB00082	pegvisomant	9606.ENSP00000483403	GHR	P10912
botulinum toxin type a	DB00083	abobotulinumtoxina | botulinum a neurotoxin | botulinum antitoxin type a | botulinum toxin a | botulinum toxin type a | btx-a | evabotulinumtoxina | incobotulinumtoxina | onabotulinumtoxina | prabotulinumtoxin a | toxina botulã­nica a | toxine botulinique a	"9606.ENSP00000254976, 9606.ENSP00000272233"	"SNAP25, RHOB"	"P60880, P62745"
streptokinase	DB00086	estreptoquinasa | streptochinasi | streptococcal fibrinolysin | streptokinase | streptokinasum	"9606.ENSP00000308938, 9606.ENSP00000321326"	"PLG, F2R"	"P00747, P25116"
alemtuzumab	DB00087	alemtuzumab	"9606.ENSP00000363330, 9606.ENSP00000358165, 9606.ENSP00000433642, 9606.ENSP00000356946, 9606.ENSP00000271450, 9606.ENSP00000351497"	"CD52, FCGR1A, FCGR3B, FCGR3A, FCGR2A, FCGR2B"	"P31358, P12314, O75015, P08637, P12318, P31994, P31995"
capromab pendetide	DB00089	(111in)-capromab pendetide | capromab pendetide | indium (111in) capromab pendetide | indium 111 capromab pendetide | indium in 111 capromab pendetide	9606.ENSP00000256999	FOLH1	Q04609
cyclosporine	DB00091	ciclosporin | ciclosporina | ciclosporine | ciclosporinum | csa | cya | cyclosporin | cyclosporin a | cyclosporine	"9606.ENSP00000297156, 9606.ENSP00000419425, 9606.ENSP00000225174, 9606.ENSP00000498330"	"CAMLG, PPIA, PPIF, PPP3R2"	"P49069, P62937, P30405, Q96LZ3"
alefacept	DB00092	alefacept	"9606.ENSP00000358490, 9606.ENSP00000433642, 9606.ENSP00000356946"	"CD2, FCGR3B, FCGR3A"	"P06729, O75015, P08637"
felypressin	DB00093	2-(l-phenylalanine)-8-l-lysinevasopressin | felipresina | felypressin | felypressine | felypressinum | plv-2	9606.ENSP00000299178	AVPR1A	P37288
urofollitropin	DB00094	follitropin human | urofollitrophin | urofollitropin	9606.ENSP00000384708	FSHR	P23945
efalizumab	DB00095	anti-cd11a | anticd11 alpha | efalizumab	"9606.ENSP00000349252, 9606.ENSP00000454623"	"ITGAL, ITGAX"	"P20701, P20702"
choriogonadotropin alfa	DB00097	choriogonadotropin alfa | choriogonadotropin alpha | chorionic gonadotropin (recombinant)	"9606.ENSP00000294954, 9606.ENSP00000384708"	"LHCGR, FSHR"	"P22888, P23945"
antithymocyte immunoglobulin (rabbit)	DB00098	"anti-human thymocyte immunoglobulin, rabbit | anti-t-lymphocyte immune globulin, rabbit | anti-thymocyte globulin (rabbit) | anti-thymocyte globulin rabbit | antithymocyte immunoglobulin | lapine t-lymphocyte immune globulin | rabbit anti-human thymocyte globulin | rabbit anti-human thymocyte globulin (ratg) | rabbit anti-human thymocyte immunoglobulin | rabbit anti-thymocyte immunoglobulin | rabbit antithymocyte globulin | rabbit atg | ratg | thymoglobulin | thymoglobuline"	"9606.ENSP00000349252, 9606.ENSP00000289429, 9606.ENSP00000332049, 9606.ENSP00000452786, 9606.ENSP00000351497, 9606.ENSP00000011653, 9606.ENSP00000477563, 9606.ENSP00000379350, 9606.ENSP00000261023"	"ITGAL, CD1A, CD86, ITGB3, FCGR2B, CD4, MR1, ITGB1, ITGAV"	"P20701, P06126, P42081, P05106, P31994, P01730, Q95460, P05556, P06756"
filgrastim	DB00099	filgrastim | filgrastim-aafi | filgrastim-sndz | g-csf  | granulocyte colony stimulating factor  | tbo-filgrastim	9606.ENSP00000362195	CSF3R	Q99062
coagulation factor ix (recombinant)	DB00100	"coagulation factor ix (recombinant) | coagulation factor ix recombinant human | coagulation factor ix, recombinant | factor ix (recombinant) | nonacog alfa | nonacog gamma | recombinant factor ix"	"9606.ENSP00000353393, 9606.ENSP00000308541, 9606.ENSP00000364709, 9606.ENSP00000364731, 9606.ENSP00000233838, 9606.ENSP00000384957, 9606.ENSP00000243077"	"F8, F2, F10, F7, GGCX, F11, LRP1"	"P00451, P00734, P00742, P08709, P38435, P03951, Q07954"
becaplermin	DB00102	"becaplermin | pdgf-2 | pdgf-bb | pdgfb | platelet-derived growth factor bb, recombinant | platelet-derived growth factor beta polypeptide | recombinant platelet-derived growth factor bb | rhpdgf-bb | rpdgf-bb | sh-polypeptide-59"	"9606.ENSP00000261799, 9606.ENSP00000257290, 9606.ENSP00000323929"	"PDGFRB, PDGFRA, A2M"	"P09619, P16234, P01023"
interferon alfa-2b	DB00105	"interferon alfa-2b | interferon alfa-2b (recombinant) | interferon alfa-2b, recombinant | interferon alpha-2b | interferon î±-2b | intron (interferon î±2b) | intron a | intron a (interferon î±2b) | r-inf-alpha | rifn-alpha-2b"	"9606.ENSP00000343957, 9606.ENSP00000270139"	"IFNAR2, IFNAR1"	"P48551, P17181"
abarelix	DB00106	abarelix	9606.ENSP00000226413	GNRHR	P30968
oxytocin	DB00107	oxitocina | oxytocin	9606.ENSP00000324270	OXTR	P30559
natalizumab	DB00108	"anti-alpha4 integrin | anti-vla4 | immunoglobulin g4 (human-mouse monoclonal an100226 4-chain anti-human integrin 4), disulfide with human-mouse monoclonal an100226 light chain, dimer | immunoglobulin g4 (human-mouse monoclonal an100226 4-chain anti-human integrin 4), disulphide with human-mouse monoclonal an100226 light chain, dimer | natalizumab"	"9606.ENSP00000380227, 9606.ENSP00000358165, 9606.ENSP00000433642, 9606.ENSP00000264832"	"ITGA4, FCGR1A, FCGR3B, ICAM1"	"P13612, P12314, O75015, P05362"
palivizumab	DB00110	palivizumab	"9606.ENSP00000358165, 9606.ENSP00000433642, 9606.ENSP00000444271, 9606.ENSP00000363773, 9606.ENSP00000313967, 9606.ENSP00000363770, 9606.ENSP00000356946, 9606.ENSP00000351497"	"FCGR1A, FCGR3B, C1R, C1QA, C1QB, C1QC, FCGR3A, FCGR2B"	"P12314, O75015, P00736, P02745, P02746, P02747, P08637, P31994"
daclizumab	DB00111	dacliximab | daclizumab | daclizumab beta	"9606.ENSP00000216223, 9606.ENSP00000369293, 9606.ENSP00000358165, 9606.ENSP00000433642, 9606.ENSP00000444271, 9606.ENSP00000363773, 9606.ENSP00000313967, 9606.ENSP00000363770, 9606.ENSP00000356946, 9606.ENSP00000271450, 9606.ENSP00000351497"	"IL2RB, IL2RA, FCGR1A, FCGR3B, C1R, C1QA, C1QB, C1QC, FCGR3A, FCGR2A, FCGR2B"	"P14784, P01589, P12314, O75015, P00736, P02745, P02746, P02747, P08637, P12318, P31994, P31995"
bevacizumab	DB00112	anti-vegf humanized monoclonal antibody | anti-vegf monoclonal antibody | bevacizumab | bevacizumab-awwb | rhumab-vegf	"9606.ENSP00000358165, 9606.ENSP00000363773, 9606.ENSP00000313967, 9606.ENSP00000363770, 9606.ENSP00000356946, 9606.ENSP00000271450, 9606.ENSP00000351497"	"FCGR1A, C1QA, C1QB, C1QC, FCGR3A, FCGR2A, FCGR2B"	"P15692, P12314, P02745, P02746, P02747, P08637, P12318, P31994, P31995"
technetium tc-99m arcitumomab	DB00113	arcitumomab technetium-99m | technetium (99mtc) arcitumomab | technetium tc 99m arcitumomab | technetium-99m arcitumomab	9606.ENSP00000161559	CEACAM1	P13688
